IPO_DATE,SYMBOL,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN
2020-09-15,SAII,Software Acquisition Group II,10,10.68,0.068
2020-09-11,SNPR,Tortoise Acquisition II,10,10.91,0.091
2020-09-11,TWCT,TWC Tech Holdings II,10,10,0
2020-09-11,LEAP,Ribbit LEAP,10,12.74,0.274
2020-09-11,LSPD,Lightspeed POS,30.5,68.72,1.2531
2020-09-11,BSN,Broadstone Acquisition,10,9.89,-0.011
2020-09-10,SVAC,Starboard Value Acquisition,10,10.1,0.01
2020-09-10,PIAI,Prime Impact Acquisition I,10,9.96,-0.004
2020-09-10,NSH,NavSight Holdings,10,10.3,0.03
2020-09-09,CRHC,Cohn Robbins Holdings,10,10.24,0.024
2020-09-09,ITAC,Industrial Tech Acquisitions,10,9.98,-0.002
2020-09-04,TWND,Tailwind Acquisition,10,10.2,0.02
2020-09-04,CAPA,HighCape Capital Acquisition,10,13.08,0.308
2020-09-03,INAQ,INSU Acquisition II,10,18,0.8
2020-09-03,BCTG,BCTG Acquisition,10,11.15,0.115
2020-09-02,CMLF,CM Life Sciences,10,16.65,0.665
2020-09-01,PRFX,PainReform,8,5.67,-0.2913
2020-08-31,AUVI,Applied UV,5,9.29,0.858
2020-08-28,HCDI,Harbor Custom Development,6,3.5,-0.4167
2020-08-28,GP,GreenPower Motor,20,27.41,0.3705
2020-08-27,XPEV,XPeng,15,36.12,1.408
2020-08-27,BTAQ,Burgundy Technology Acquisition,10,10.06,0.006
2020-08-27,CFII,CF Finance Acquisition II,10,9.19,-0.081
2020-08-26,FTOC,FTAC Olympus Acquisition,10,11.59,0.159
2020-08-21,CLA,Colonnade Acquisition,10,12,0.2
2020-08-21,FST,Fast Acquisition,10,12.73,0.273
2020-08-21,KYMR,Kymera Therapeutics,20,57.43,1.8715
2020-08-21,HZAC,Horizon Acquisition,10,10.16,0.016
2020-08-21,NNOX,Nano-X Imaging,18,48.79,1.7106
2020-08-19,HRMY,Harmony Biosciences,24,30.77,0.2821
2020-08-19,INBX,Inhibrx,17,23.55,0.3853
2020-08-19,BFT,Foley Trasimene Acquisition II,10,16,0.6
2020-08-18,STPK,Star Peak Energy Transition,10,31.99,2.199
2020-08-18,FIII,Forum Merger III,10,10.26,0.026
2020-08-18,AONE,One,10,12.35,0.235
2020-08-18,NGA,Northern Genesis Acquisition,10,19.08,0.908
2020-08-14,LCAP,Lionheart Acquisition II,10,9.87,-0.013
2020-08-14,CVAC,CureVac,16,94.29,4.8931
2020-08-14,DGNR,Dragoneer Growth Opportunities,10,11.07,0.107
2020-08-14,DMYD,dMY Technology Group II,10,16.79,0.679
2020-08-14,DCT,Duck Creek Technologies,27,46.64,0.7274
2020-08-13,NTST,NetSTREIT,18,18.47,0.0261
2020-08-13,BEKE,KE Holdings,20,67,2.35
2020-08-13,RBAC,Redball Acquisition,10,10.2,0.02
2020-08-12,FAII,Fortress Value Acquisition II,10,10.04,0.004
2020-08-12,KBNT,Kubient,5,7.9,0.58
2020-08-12,FSDC,FS Development,10,12.66,0.266
2020-08-07,VMAC,Vistas Media Acquisition,10,9.97,-0.003
2020-08-07,ARYA,Arya Sciences Acquisition III,10,13.74,0.374
2020-08-07,CMPI,Checkmate Pharmaceuticals,15,14.98,-0.0013
2020-08-07,FRLN,Freeline Therapeutics,18,13.39,-0.2561
2020-08-07,IBEX,IBEX Holdings,19,21.29,0.1205
2020-08-06,KSMT,Kismet Acquisition One,10,9.9,-0.01
2020-08-06,GRSV,Gores Holdings V,10,10.07,0.007
2020-08-06,AFIB,Acutus Medical,18,19.06,0.0589
2020-08-06,RKT,Rocket Companies,18,24.5,0.3611
2020-08-06,OSH,Oak Street Health,21,57.35,1.731
2020-08-05,RXT,Rackspace Technology,21,23.64,0.1257
2020-08-05,BOWX,BowX Acquisition,10,9.95,-0.005
2020-08-05,BIGC,BigCommerce,24,55.71,1.3213
2020-08-05,HOL,Holicity,10,13.1,0.31
